CZAS;Bochnia poz. dop.: 50 ;Brzeszcze, ul. Koscielna poz. dop.: 50 ;Gorlice poz. dop.: 50 ;Krakow-Kurdwanow poz. dop.: 50 ;Krakow, os. Piastow poz. dop.: 50 ;Krakow, os. Wadow poz. dop.: 50 ;Krakow, ul. Telimeny poz. dop.: 50 ;Krakow, ul. Zloty Rog poz. dop.: 50 ;Muszyna, ul. A. Kity 17 poz. dop.: 50 ;Niepolomice poz. dop.: 50 ;Nowa Huta poz. dop.: 50 ;Nowy Sacz poz. dop.: 50 ;Nowy Targ, Pl. Slowackiego poz. dop.: 50 ;Rabka-Zdroj poz. dop.: 50 ;Tarnow poz. dop.: 50 ;Trzebinia poz. dop.: 50 ;Tuchow poz. dop.: 50 ;Zakopane poz. dop.: 50 
29.03;20;-;20;27;31;-;-;37;-;25;35;31;36;-;20;23;36;25
30.03;22;-;39;35;31;-;-;39;-;26;42;27;20;-;27;38;46;13
31.03;37;-;27;42;42;-;-;46;-;36;49;45;51;-;39;35;53;25
1.04;33;-;-;30;29;-;-;41;-;27;31;44;53;-;25;34;27;33
2.04;26;-;31;33;40;-;-;43;-;34;57;41;38;-;27;29;33;38
3.04;26;-;21;49;36;-;-;40;-;35;57;35;59;-;18;25;29;37
4.04;29;-;35;61;57;-;-;67;-;45;78;45;63;-;31;39;45;44
5.04;54;-;45;83;76;-;-;91;-;65;94;52;-;-;49;60;57;53
6.04;50;-;41;67;62;-;-;71;-;57;71;45;50;-;46;53;44;50
7.04;30;-;26;55;51;-;-;54;-;32;51;37;43;-;24;43;34;37
8.04;43;-;40;42;36;-;-;42;-;40;37;47;46;-;40;35;48;31
9.04;36;-;20;34;29;-;-;30;-;32;26;26;15;-;30;29;31;17
10.04;44;-;27;43;45;-;-;47;-;45;44;31;15;-;31;49;33;16
11.04;56;-;40;67;66;-;-;70;-;61;68;52;31;-;49;66;49;30
12.04;50;-;48;57;76;-;-;70;-;58;75;58;25;-;55;83;61;30
13.04;40;-;22;54;59;-;-;56;-;42;65;38;26;-;39;52;36;20
14.04;52;-;28;54;52;-;-;58;-;54;65;32;14;-;40;49;33;14
15.04;29;-;24;25;32;-;-;29;-;26;34;22;18;-;25;29;21;14
16.04;16;-;20;27;29;-;-;31;-;24;34;29;30;-;17;27;20;28
17.04;22;-;20;33;28;-;-;30;-;24;37;25;30;-;22;29;19;22
18.04;20;-;19;26;23;-;-;25;-;25;30;22;26;-;19;22;21;13
19.04;34;-;26;38;47;-;-;48;-;40;48;31;24;-;33;54;28;21
20.04;27;-;21;24;25;-;-;29;-;26;27;26;15;-;22;28;20;21
21.04;27;-;24;35;39;-;-;45;-;34;42;30;35;-;31;41;37;22
22.04;28;-;28;41;41;-;-;49;-;38;50;33;-;-;31;31;38;26
23.04;30;-;34;42;39;-;-;36;-;35;45;35;42;-;29;28;40;32
24.04;25;-;22;24;19;-;-;20;-;23;19;29;-;-;25;27;28;22
25.04;28;-;22;30;26;-;-;33;-;26;25;28;27;-;22;35;28;23
26.04;21;-;20;25;37;-;-;-;-;26;41;33;21;-;22;32;27;14
27.04;24;-;18;17;21;-;-;21;-;20;22;27;30;-;18;22;24;12
28.04;12;-;10;13;14;-;-;16;-;11;17;16;14;-;12;22;17;14
29.04;18;-;16;23;24;-;-;32;-;18;32;21;30;-;18;19;23;22
30.04;24;-;19;26;24;-;-;31;-;22;32;21;31;-;18;18;25;24
1.05;25;-;24;25;22;-;-;26;-;24;52;27;25;-;17;20;33;20
2.05;22;-;24;21;20;-;-;20;-;21;20;27;30;-;18;18;22;25
3.05;23;-;21;21;19;-;-;21;-;20;24;25;16;-;21;17;26;17
4.05;26;-;24;31;29;-;-;34;-;27;31;26;17;-;28;31;28;-
5.05;24;-;19;30;34;-;-;35;-;29;35;22;-;-;24;41;24;17
6.05;21;-;19;31;28;-;-;32;-;27;36;27;17;-;26;30;26;18
7.05;20;-;17;25;22;-;-;27;-;23;29;24;27;-;21;20;23;15
8.05;16;-;15;12;13;-;-;15;-;17;17;19;18;-;14;10;18;15
9.05;20;-;12;21;19;-;-;22;-;19;27;28;23;-;19;15;18;14
10.05;13;-;12;23;18;-;-;22;-;18;33;22;24;-;21;17;16;15
11.05;20;-;14;27;27;-;-;28;-;24;38;24;13;-;20;23;23;17
12.05;19;-;19;26;20;-;-;24;-;21;34;21;23;-;25;21;21;15
13.05;14;-;15;16;19;-;-;18;-;16;17;22;16;-;28;18;18;15
14.05;22;-;13;23;22;-;-;22;-;25;23;18;23;-;17;28;14;18
15.05;18;-;16;21;19;-;-;16;-;19;18;20;14;-;23;18;23;18
16.05;22;-;12;22;17;-;-;20;-;20;20;20;22;-;19;28;19;12
17.05;15;-;12;18;19;-;-;23;-;23;21;18;13;-;20;27;18;14
18.05;18;-;10;29;25;-;-;31;-;32;30;21;-;-;19;30;15;18
19.05;22;-;17;34;29;-;-;35;-;24;46;27;30;-;25;23;22;19
20.05;26;-;20;32;30;-;-;36;-;30;38;28;26;-;26;31;30;24
21.05;30;-;24;38;38;-;-;38;-;34;42;32;34;-;32;35;34;24
22.05;25;-;23;35;28;-;-;29;-;28;32;27;26;-;24;26;28;20
23.05;23;-;24;29;29;-;-;33;-;27;34;27;28;-;26;27;27;22
24.05;25;-;23;25;29;-;-;27;-;23;31;28;-;-;35;24;29;25
25.05;22;-;17;28;31;-;-;28;-;25;29;21;27;-;22;26;24;19
26.05;24;-;19;26;27;-;-;29;-;25;27;19;-;-;21;29;20;17
27.05;24;-;19;28;32;-;-;29;-;28;30;24;15;-;28;26;21;17
28.05;16;-;18;15;18;-;-;19;-;15;20;18;14;-;20;15;21;14
29.05;19;-;18;21;22;-;-;21;-;22;25;20;8;-;24;18;20;20
30.05;20;-;18;23;25;-;-;25;-;21;26;19;18;-;23;20;19;21
31.05;26;-;15;26;26;-;-;29;-;23;32;17;-;-;27;25;21;13
1.06;13;-;12;16;15;-;-;19;-;14;20;15;-;-;16;13;12;-
2.06;15;-;12;19;15;-;-;19;-;16;22;13;7;-;17;15;14;13
3.06;20;-;17;20;18;-;-;23;-;19;23;20;14;-;28;17;19;10
4.06;29;-;21;30;25;-;-;29;-;25;32;25;14;-;26;22;22;18
5.06;21;-;16;24;22;-;-;25;-;25;24;17;16;-;20;20;20;18
6.06;17;-;14;14;14;-;-;16;-;15;11;14;15;-;16;13;13;14
7.06;17;-;13;22;18;-;-;21;-;16;24;16;15;-;20;13;15;15
8.06;21;-;16;24;26;-;-;29;-;21;28;20;16;-;20;22;25;16
9.06;25;-;19;31;29;-;-;34;-;27;32;26;10;-;24;26;25;22
10.06;21;-;16;23;24;-;-;26;-;22;25;19;17;-;19;26;19;18
11.06;21;-;18;24;23;-;-;24;-;20;23;20;19;-;22;24;23;18
12.06;19;-;17;20;20;-;-;23;-;19;25;17;15;-;18;16;18;17
13.06;16;-;14;17;19;-;-;21;-;14;24;16;18;-;21;16;18;14
14.06;23;-;20;24;-;-;-;25;-;19;29;17;15;-;26;21;21;12
15.06;18;-;14;20;22;-;-;20;-;20;24;13;-;-;19;18;18;10
16.06;6;-;11;17;13;-;-;16;-;13;18;12;12;-;13;15;20;13
17.06;22;-;19;29;27;-;-;26;-;28;28;21;13;-;24;24;33;30
18.06;11;-;9;18;-;-;-;14;-;11;19;11;14;-;18;12;19;13
19.06;16;-;13;21;-;-;-;18;-;20;20;14;-;-;14;15;17;13
20.06;17;-;16;16;-;-;-;18;-;17;22;15;13;-;19;14;21;13
21.06;19;-;25;20;13;-;-;20;-;19;22;18;-;-;23;17;26;17
22.06;25;-;24;27;24;-;-;28;-;24;29;21;23;-;28;22;26;23
23.06;30;-;31;33;30;-;-;31;-;28;31;29;21;-;32;26;30;30
24.06;34;-;33;32;35;-;-;37;-;30;35;28;18;-;40;35;37;26
25.06;30;-;34;31;-;-;-;35;-;30;35;28;28;-;33;32;35;30
26.06;23;-;22;22;-;-;-;26;-;25;25;20;14;-;22;22;23;21
27.06;14;-;13;12;-;-;-;15;-;14;15;10;11;-;14;14;13;9
28.06;25;-;18;24;-;-;-;24;-;22;23;18;13;-;18;21;20;12
29.06;19;-;19;23;-;-;-;26;-;21;25;21;14;-;18;23;20;17
30.06;14;-;19;20;-;-;-;23;-;19;25;19;16;-;20;18;19;14
1.07;16;-;17;22;-;-;-;24;-;20;-;17;15;-;24;20;21;17
2.07;17;-;20;19;-;-;-;20;-;17;-;20;5;-;20;19;23;20
3.07;10;-;11;12;-;-;-;12;-;10;-;11;6;-;13;13;11;8
4.07;15;-;15;19;-;-;-;19;-;17;-;16;13;-;20;15;19;11
5.07;23;-;18;16;-;-;-;22;-;20;21;21;5;-;21;18;22;16
6.07;13;-;11;17;15;-;-;14;-;13;14;14;10;-;17;17;17;12
7.07;14;-;13;19;23;-;-;17;-;14;16;14;12;-;17;17;16;12
8.07;18;-;18;20;15;-;-;25;-;19;17;19;16;-;37;22;20;18
9.07;16;-;13;18;14;-;-;17;-;16;14;15;13;-;15;15;14;15
10.07;10;-;10;15;22;-;-;14;-;11;17;11;13;-;13;16;10;13
11.07;15;-;18;25;26;-;-;25;-;16;22;19;10;-;17;25;19;17
12.07;20;-;24;26;14;-;-;24;-;23;29;26;20;-;28;22;25;26
13.07;9;-;22;17;10;-;-;14;-;20;16;23;10;-;15;15;18;14
14.07;12;-;8;13;10;-;-;11;-;10;13;8;7;-;10;11;10;-
15.07;11;-;9;14;11;-;-;12;-;9;10;8;8;-;9;12;10;8
16.07;14;-;15;-;17;-;-;12;-;10;10;12;9;-;13;12;16;9
17.07;15;-;12;-;18;-;-;17;-;14;16;11;5;-;16;20;13;7
18.07;19;-;14;14;17;-;-;21;-;17;20;14;11;-;24;-;17;12
19.07;16;-;13;17;-;-;-;20;-;15;19;14;5;-;16;16;13;11
20.07;20;-;15;23;18;-;-;19;-;16;20;21;17;-;17;16;17;15
21.07;21;-;15;30;23;-;-;28;-;23;24;20;14;-;20;23;21;16
22.07;25;-;21;28;20;-;-;26;-;22;23;26;-;-;24;21;21;21
23.07;22;-;21;28;22;-;-;26;-;19;29;23;17;-;25;21;25;22
24.07;19;-;17;24;20;-;-;21;-;17;21;21;19;-;20;20;18;22
25.07;23;-;20;26;28;-;-;26;-;22;26;25;19;-;23;23;23;19
26.07;27;-;22;30;27;-;-;30;-;25;40;26;17;-;32;32;31;18
27.07;24;-;20;27;25;-;-;24;-;22;21;17;21;-;27;32;26;17
28.07;26;-;-;26;27;-;-;29;-;23;28;20;22;-;-;31;24;16
29.07;18;-;15;23;21;-;-;22;-;19;23;20;18;-;18;24;20;17
30.07;13;-;15;18;18;-;-;18;-;13;19;18;18;-;18;17;19;16
31.07;12;-;-;16;16;-;-;16;-;13;18;14;17;-;14;15;14;13
1.08;12;-;-;15;11;-;-;15;-;10;14;14;13;-;14;16;15;13
2.08;18;-;-;21;20;-;-;24;-;17;22;20;17;-;17;22;19;15
3.08;19;-;-;20;18;-;-;21;-;19;21;23;23;-;23;19;25;19
4.08;14;-;14;20;23;-;-;23;-;16;26;18;22;-;18;19;19;19
5.08;19;-;17;18;22;-;-;23;-;17;27;20;22;-;19;20;19;21
6.08;13;-;12;13;13;-;-;15;-;12;13;11;11;-;11;16;13;9
7.08;15;-;10;16;15;-;-;18;-;14;17;14;16;-;13;13;12;11
8.08;16;-;14;17;23;-;-;21;-;16;24;21;22;-;16;22;16;16
9.08;20;-;14;20;23;-;-;24;-;18;24;17;-;-;18;23;16;16
10.08;10;-;8;8;8;-;-;8;-;6;6;6;7;-;10;8;10;5
11.08;14;-;12;17;16;-;-;20;-;14;17;14;17;-;18;18;15;12
12.08;16;-;13;17;21;-;-;22;-;16;22;19;15;-;17;22;15;15
13.08;14;-;14;16;15;-;-;18;-;14;15;17;14;-;17;19;20;11
14.08;13;-;13;17;16;-;-;19;-;15;18;12;12;-;17;17;18;18
15.08;14;-;11;18;10;-;-;15;-;13;13;14;12;-;12;18;14;5
16.08;22;-;16;24;22;-;-;24;-;19;22;20;17;-;20;23;23;6
17.08;19;-;16;22;22;-;-;26;-;20;23;16;16;-;19;21;19;20
18.08;16;-;15;21;24;-;-;26;-;18;27;19;21;-;15;22;25;22
19.08;18;-;18;26;30;-;-;31;-;20;32;21;23;-;18;22;20;19
20.08;20;-;16;29;29;-;-;30;-;27;32;25;25;-;19;25;22;22
21.08;18;-;16;25;26;-;-;23;-;19;23;18;25;-;21;20;18;-
22.08;21;-;16;27;19;-;-;25;-;20;21;18;20;-;19;23;18;18
23.08;22;-;17;27;19;-;-;20;-;22;19;19;19;-;17;28;21;20
24.08;17;-;17;24;15;-;-;21;-;14;17;18;15;-;17;18;21;18
25.08;17;-;17;13;17;-;-;21;-;15;30;21;18;-;14;-;21;15
26.08;18;-;18;28;26;-;-;28;-;15;34;24;20;-;24;18;24;-
27.08;21;-;20;32;29;-;-;32;-;23;33;31;25;-;22;27;25;20
28.08;22;-;19;31;26;-;-;32;-;26;31;21;23;-;19;25;19;23
29.08;28;-;22;34;30;-;-;33;-;25;32;26;29;-;28;34;27;23
30.08;16;-;16;20;16;-;-;23;-;14;17;18;16;-;20;19;17;19
31.08;21;-;17;23;20;-;-;27;-;15;26;24;21;-;26;27;25;17
1.09;23;-;18;33;31;-;-;37;-;23;36;25;21;-;27;31;37;22
2.09;31;-;25;40;38;-;-;42;-;30;39;31;27;-;34;44;28;26
3.09;30;-;28;38;37;-;-;42;-;33;40;37;33;-;34;40;68;25
4.09;17;-;19;23;22;-;-;25;-;21;24;25;25;-;21;24;26;19
5.09;12;-;10;12;9;-;-;12;-;9;11;11;11;-;13;12;12;10
6.09;15;-;17;16;14;-;-;15;-;12;14;14;18;-;15;12;20;-
7.09;25;-;26;29;26;-;-;32;-;-;31;28;29;-;26;25;25;23
8.09;27;-;26;32;31;-;-;32;-;-;35;29;26;-;33;32;28;23
9.09;27;-;26;41;42;-;-;42;-;28;43;34;30;-;33;31;31;28
10.09;38;-;32;45;44;-;-;43;-;37;51;40;29;-;45;34;41;26
11.09;34;-;30;39;36;-;-;38;-;36;42;35;26;-;43;36;35;25
12.09;38;-;37;45;38;-;-;47;-;31;49;42;29;-;44;37;43;31
13.09;42;-;40;49;43;-;-;50;-;39;58;47;40;-;46;36;51;37
14.09;35;-;38;44;29;-;-;33;-;29;35;39;32;-;32;29;33;-
15.09;29;-;29;30;31;-;-;39;-;18;43;28;31;-;35;30;33;33
16.09;42;-;55;49;49;-;-;53;-;32;54;36;34;-;45;36;45;-
17.09;34;-;37;39;43;-;-;47;-;34;47;31;31;-;32;34;37;22
18.09;37;-;38;38;35;-;-;37;-;31;44;23;17;-;35;33;35;11
19.09;29;-;35;31;29;-;-;30;-;22;29;25;14;-;31;25;34;11
20.09;27;-;27;26;22;-;-;26;-;19;20;25;27;-;25;17;30;23
21.09;24;-;22;34;27;-;-;32;-;-;31;24;31;-;26;22;25;20
22.09;26;-;19;39;29;-;-;36;-;-;33;29;39;-;28;33;30;23
23.09;23;-;19;31;34;-;-;39;-;27;35;32;32;-;30;31;33;23
24.09;37;-;25;38;50;-;-;49;-;42;45;38;46;-;37;48;53;26
25.09;33;-;23;28;31;-;-;32;-;25;33;28;34;-;36;16;32;24
26.09;33;-;23;24;27;-;-;34;-;24;40;29;41;-;30;18;30;26
27.09;31;-;25;39;35;-;-;43;-;30;52;35;40;-;36;22;38;26
28.09;31;-;24;41;46;-;-;45;-;36;49;37;31;-;40;36;36;24
29.09;18;-;19;23;26;-;-;29;-;20;28;27;23;-;22;23;24;20
30.09;20;-;24;30;34;-;-;39;-;22;40;31;37;-;26;27;34;24
1.10;25;-;33;44;46;-;-;45;-;31;50;31;42;-;28;28;37;24
2.10;24;-;18;30;36;-;-;33;-;26;39;24;34;-;21;23;23;23
3.10;18;-;17;14;13;-;-;13;-;13;15;12;17;-;24;12;16;13
4.10;15;-;9;11;12;-;-;12;-;10;10;11;12;-;12;10;14;11
5.10;11;-;8;10;7;-;-;7;-;9;7;8;10;-;6;17;7;10
6.10;26;-;8;12;14;-;-;21;-;18;26;13;52;-;17;9;22;15
7.10;38;-;24;43;33;-;-;39;-;35;36;29;42;-;41;41;42;17
8.10;49;-;28;47;43;-;-;46;-;44;42;38;34;-;40;57;35;22
9.10;40;-;25;40;36;-;-;44;-;41;39;32;35;-;42;44;54;19
10.10;41;-;25;41;30;-;-;35;-;32;29;42;35;-;33;25;50;16
11.10;32;-;29;29;21;-;-;29;-;26;24;27;42;-;26;16;37;17
12.10;15;-;12;13;10;-;-;14;-;14;18;13;25;-;14;8;14;12
13.10;17;-;13;14;19;-;-;20;-;15;24;13;23;-;23;13;23;12
14.10;20;-;14;23;23;-;-;34;-;21;41;26;33;-;22;23;14;46
15.10;22;-;14;20;21;-;-;24;-;23;32;39;66;-;19;21;14;66
16.10;25;-;12;20;21;-;-;26;-;19;33;11;52;-;17;16;10;23
17.10;11;-;7;16;14;-;-;22;-;13;30;24;34;-;9;15;29;33
18.10;21;-;14;38;35;-;-;45;-;36;42;40;41;-;17;33;33;27
19.10;34;-;21;50;44;-;-;51;-;39;45;41;38;-;21;42;29;26
20.10;30;-;25;39;37;-;-;48;-;32;44;21;31;-;27;34;27;21
21.10;37;-;17;42;39;-;-;47;-;37;39;26;29;-;26;53;48;18
22.10;55;-;34;56;46;-;-;54;-;41;45;43;56;-;49;46;30;34
23.10;20;-;25;45;32;-;-;46;-;31;41;38;52;-;18;24;25;42
24.10;25;-;20;56;48;-;-;61;-;34;61;41;84;-;18;33;24;41
25.10;34;-;21;61;36;-;-;55;-;33;45;29;48;-;25;32;39;26
26.10;43;-;12;26;26;-;-;35;-;34;24;29;12;-;26;22;56;22
27.10;49;-;30;44;44;-;-;51;-;45;46;28;29;-;43;29;46;28
28.10;45;-;29;52;60;-;-;64;-;58;65;31;20;-;46;44;13;26
29.10;23;-;12;16;16;-;-;19;-;14;15;11;6;-;-;19;12;11
30.10;23;-;14;17;16;-;-;18;-;14;14;13;6;-;-;18;19;13
31.10;33;-;17;27;25;-;-;32;-;20;25;23;9;-;-;29;29;18
1.11;27;-;21;25;30;-;-;34;-;27;29;29;13;-;31;33;17;32
2.11;16;-;20;19;19;-;-;23;-;21;19;27;18;-;18;22;11;20
3.11;21;-;10;19;16;-;-;21;-;14;19;18;19;-;21;27;36;15
4.11;26;-;23;40;53;-;-;67;-;39;58;71;85;-;26;45;26;48
5.11;19;-;24;32;35;-;-;47;-;22;37;24;54;-;22;40;33;29
6.11;30;-;22;32;27;-;-;36;-;26;30;24;34;-;23;30;61;15
7.11;42;-;26;35;33;-;-;40;-;38;34;52;29;-;31;49;86;26
8.11;50;-;40;36;51;-;-;56;-;42;51;86;90;-;43;42;65;43
9.11;91;-;57;106;92;-;-;105;-;74;92;76;67;-;67;111;70;47
10.11;55;-;51;44;61;-;-;78;-;42;55;80;104;-;62;68;45;84
11.11;35;-;33;27;27;-;-;31;-;26;28;43;68;-;36;30;45;76
12.11;42;-;37;32;31;-;-;38;-;30;30;31;40;-;36;27;35;23
13.11;51;-;24;40;24;-;-;32;-;26;24;29;28;-;31;35;91;25
14.11;69;-;44;68;47;-;-;50;-;57;56;65;64;-;60;40;66;33
15.11;54;-;45;79;80;-;-;98;-;57;90;106;-;-;49;75;26;101
16.11;24;-;20;35;30;-;-;33;-;34;40;34;46;-;23;35;-;74
17.11;21;-;14;41;35;-;-;51;-;25;44;40;71;-;13;58;16;83
18.11;22;-;31;58;46;-;-;66;-;19;58;30;108;-;21;25;22;19
19.11;30;-;30;69;52;-;-;66;-;28;58;36;83;-;29;31;34;13
20.11;19;-;22;28;32;-;-;46;-;21;29;18;42;-;22;42;25;7
21.11;19;-;24;-;42;-;-;49;-;24;40;22;52;-;20;27;22;11
22.11;47;-;25;64;50;-;-;74;-;32;90;37;65;-;23;30;27;18
23.11;80;-;-;103;84;-;-;95;-;61;9;92;105;-;43;42;83;62
24.11;131;-;45;150;146;-;-;157;-;79;149;103;175;-;74;119;127;91
25.11;81;-;60;79;67;-;-;64;-;65;76;82;132;-;64;48;87;75
26.11;88;-;46;84;74;-;-;78;-;64;82;104;107;-;101;77;112;71
27.11;42;-;23;27;23;-;-;26;-;28;90;70;26;-;34;28;29;24
28.11;26;-;13;15;10;-;-;14;-;17;11;24;20;-;15;19;18;22
29.11;33;-;20;29;28;-;-;32;-;24;-;20;24;-;29;32;26;26
30.11;32;-;20;40;34;-;-;36;-;29;-;29;23;-;36;40;27;27
1.12;15;-;15;17;19;-;-;20;-;14;-;17;9;-;20;23;15;16
2.12;21;-;8;16;16;-;-;17;-;15;-;14;12;-;15;18;13;10
3.12;37;-;18;28;23;-;-;27;-;21;-;30;72;-;23;27;23;31
4.12;78;-;44;78;70;-;-;82;-;61;-;78;140;-;83;71;101;60
5.12;101;-;42;131;111;-;-;138;-;113;-;132;262;-;56;70;100;123
6.12;62;-;59;60;52;-;-;56;-;48;-;94;203;-;58;61;60;39
7.12;55;-;-;69;69;-;-;75;-;64;74;95;212;-;45;71;30;78
8.12;23;-;-;58;35;-;-;43;-;44;49;61;67;-;28;28;-;28
9.12;33;-;30;35;30;-;-;30;-;29;33;74;25;-;31;35;26;16
10.12;17;-;33;20;19;-;-;23;-;16;21;21;19;-;23;25;24;13
11.12;16;-;22;15;17;-;-;17;-;15;17;18;15;-;21;20;16;12
12.12;25;-;16;15;12;-;-;15;-;17;13;15;15;-;16;26;17;15
13.12;47;-;12;76;60;-;-;73;-;55;64;86;-;-;39;73;18;90
14.12;40;-;35;69;52;-;-;58;-;47;-;69;-;-;37;46;54;24
15.12;42;-;37;32;26;-;-;29;-;26;-;32;-;-;34;31;35;17
16.12;83;-;25;100;65;-;-;86;-;65;-;104;-;-;81;68;48;67
17.12;112;-;60;136;108;-;-;128;-;84;-;134;-;-;79;75;121;84
18.12;83;-;56;85;67;-;-;73;-;53;-;152;124;-;73;75;158;60
19.12;105;-;47;97;81;-;-;91;-;65;103;129;67;-;111;74;98;42
20.12;106;-;52;86;83;-;-;95;-;51;48;139;-;-;92;72;156;80
21.12;197;-;54;127;104;-;-;125;-;60;114;136;-;-;37;104;107;101
22.12;125;-;65;91;66;-;-;76;-;64;78;-;-;-;61;58;85;91
23.12;75;-;35;69;50;-;-;58;-;45;56;181;-;-;67;62;88;39
24.12;53;-;18;56;43;-;-;49;-;42;46;114;66;-;41;36;46;49
25.12;18;-;19;18;17;-;-;18;-;16;18;55;15;-;22;22;24;20
26.12;14;-;12;11;11;-;-;14;-;10;11;23;13;23;17;17;13;16
27.12;15;-;14;14;15;-;-;17;-;10;15;10;-;12;18;17;16;17
28.12;20;-;24;18;13;-;-;-;-;9;14;19;29;20;16;27;21;18
29.12;41;-;-;36;31;-;-;-;-;21;36;39;76;46;30;47;-;45
30.12;87;-;71;118;102;-;-;127;-;77;102;129;231;137;77;123;160;101
31.12;97;-;51;147;114;-;-;134;-;85;125;186;275;190;105;109;251;83
1.01;120;198;53;170;123;-;132;145;107;112;143;179;292;124;90;65;183;80
2.01;69;97;60;79;72;-;70;77;63;61;-;128;-;41;55;65;75;39
3.01;28;47;25;37;33;-;34;35;45;29;-;31;-;22;32;34;28;23
4.01;17;22;13;16;11;-;12;11;18;11;-;12;7;10;12;15;11;8
5.01;35;51;15;-;15;-;20;17;-;38;11;21;23;22;19;25;31;12
6.01;42;189;23;30;26;-;27;36;27;38;25;32;25;24;30;66;43;35
7.01;110;365;90;156;101;-;124;149;114;52;92;137;153;188;100;123;167;121
8.01;156;387;95;221;121;-;177;222;236;133;130;194;217;196;164;54;283;68
9.01;114;412;71;173;157;-;162;194;72;100;148;68;89;87;88;159;121;59
10.01;146;428;99;163;144;-;174;160;62;141;147;119;192;163;94;114;165;145
11.01;197;423;148;267;248;-;351;277;119;224;293;199;321;118;120;117;289;130
12.01;29;52;57;-;39;-;48;44;168;32;43;69;78;25;40;41;65;57
13.01;35;52;46;-;37;-;23;42;109;27;29;78;77;20;38;34;64;30
14.01;50;55;45;-;30;-;35;35;72;31;29;88;78;29;-;38;101;33
15.01;42;80;50;-;41;-;35;46;35;40;43;104;89;45;-;47;130;52
16.01;120;94;67;-;77;-;81;83;-;107;90;143;283;137;-;45;270;88
17.01;128;41;78;-;78;-;102;74;-;83;94;140;293;126;171;46;203;34
18.01;39;230;55;-;33;-;39;44;-;37;35;47;83;36;40;34;69;54
19.01;87;241;59;-;82;-;95;91;92;81;71;90;152;139;66;56;-;120
20.01;116;230;58;176;128;-;163;155;91;117;145;175;158;160;91;128;-;96
21.01;103;223;75;105;63;-;93;104;91;78;91;163;57;91;67;123;75;33
22.01;64;335;60;62;63;-;78;68;51;56;62;102;109;82;52;49;101;107
23.01;190;150;48;147;160;-;146;163;33;123;136;128;189;82;60;131;186;104
24.01;105;239;79;107;107;-;98;105;59;84;116;141;197;109;106;115;159;72
